startup_record_id,startup_id,data_entry_date,data_reference_date,startup_name,normalized_startup_name,country,region,city,sector,subsector,business_model,round_stage,founded_year,website,linkedin_url,founder_names,founder_background,deal_source,deal_owner,deal_status,thesis_fit_score,priority_score,arr_usd,mrr_usd,revenue_usd,growth_mom,growth_yoy,gross_margin,burn_rate_usd,runway_months,cash_balance_usd,cac_usd,ltv_usd,ltv_cac_ratio,cac_payback_months,nrr,grr,churn_rate,active_customers,headcount,arr_per_employee,round_amount_usd,valuation_pre_money_usd,valuation_post_money_usd,ownership_target,ownership_actual,investment_amount_usd,entry_multiple,lead_investor,co_investors,last_round_date,next_round_expected_date,notes,source_name,confidence_level,last_updated,burn_multiple,benchmark_match_level,benchmark_match_quality,benchmark_record_ids,bm_valuation_mid,bm_revenue_multiple_mid,bm_growth_rate_mid,valuation_gap,multiple_gap,growth_gap,price_performance_score,valuation_signal,efficiency_score,efficiency_data_quality,relative_attractiveness_score,attractiveness_data_quality
S_0010,startup_010,2026-05-21,2026-02-08,SecureAPI_1,secureapi1,Argentina,south_cone,Buenos Aires,edtech,enterprise,B2B2C,series_b,2018,https://secureapi_1.io,https://linkedin.com/company/secureapi_1,Carlos López,Tech,Network,Analyst B,passed,5.71990670889242,49.69634829058302,4641137.365226988,70483.44018767998,3944352.24283396,13.17801135734487,238.3569805642423,58.58696474531651,163121.3232965441,24.70946334870798,1270970.923258876,18341.12794350356,71740.9936533572,3.371644727393951,6.589664450837814,85.39261110416965,90.72885122340674,2.216955823415693,170,68,288408.1519574224,894224.5923441105,70380033.38217229,92478565.12466349,10.79467208108354,2.824537873756596,3138059.744513427,8.837793188789075,500Global,Tiger Global,2025-11-07,2026-09-25,Strong team,Internal Pipeline,medium,2026-05-21,0.4217621081902182,,no_match,,,,,,,,26.97019215912442,no_benchmark,85.26,high,75.84,high
S_0011,startup_011,2026-05-21,2026-02-08,MobilePay_1,mobilepay1,Colombia,andean,Buenos Aires,logtech,enterprise,B2C,series_a,2020,https://mobilepay_1.io,https://linkedin.com/company/mobilepay_1,Sofia González,Finance,Inbound,Analyst B,pipeline,6.140855358357714,99.21580148233129,1130831.903100821,266677.9204553333,3328274.668345216,15.27559739489467,242.2306955269102,40.06768128577341,167986.0559425506,25.45514460356064,1158069.042026982,39295.04342822421,106245.4157772885,4.70332729946336,11.78104055141879,116.0547203395452,118.1807128915792,7.07910440802783,193,11,138081.7635631348,3559641.584359433,76766313.65301324,56904109.46364102,13.41599510274108,4.55602569337649,2715651.71915562,7.008546581039515,500Global,Accel,2025-11-07,2026-09-25,High burn rate,Internal Pipeline,medium,2026-05-21,1.7826103647969709,7.0,low,"BM_S1_0031,BM_S1_0016",10000005.0,,,46904104.46364102,,,34.562186713893865,no_benchmark,65.5,high,85.4,high
S_0012,startup_012,2026-05-21,2026-02-08,CloudBasic_1,cloudbasic1,United States,north_america,Buenos Aires,logtech,smb,B2C,series_a,2020,https://cloudbasic_1.io,https://linkedin.com/company/cloudbasic_1,Maria Garcia,Operations,Event,Analyst C,pipeline,4.662808916120293,85.14249577450957,1867113.448949191,206136.7056977526,1308831.419254355,3.005998663105789,214.6351289175137,54.9900263782618,69777.25145754291,14.02206083572624,889972.6966943117,28525.94421564101,476207.9645749151,3.449623453550647,18.90294254378551,100.4575142861335,102.4167335912453,4.564008697470537,82,88,60775.02723708101,5817574.282669912,93010944.90106624,116278500.087144,12.93823043188144,1.395261138940125,1365420.977529577,4.281851915567888,Y Combinator,,2025-11-07,2026-09-25,Strong team,Internal Pipeline,medium,2026-05-21,0.448460707067244,6.0,low,BM_S1_0031,10000005.0,,,106278495.087144,,,50.12670525506657,no_benchmark,48.07,high,70.79,high
S_0013,startup_013,2026-05-21,2026-02-08,RealEstateAI_1,realestateai1,Mexico,mexico_ca,San Francisco,fintech,,B2C,pre_seed,2022,https://realestateai_1.io,https://linkedin.com/company/realestateai_1,John Smith,Tech,Pipeline,Analyst A,in_review,5.612762541405381,20.85105143573358,2166063.645891538,174324.3198031625,4536903.203222091,4.82907578784615,241.5289831988966,72.32293708189653,140255.5212073901,6.453320526434251,914994.233517274,15982.51046591252,95990.89741686512,5.374532709048989,21.85725758380356,135.0360839946608,74.7568170778715,2.197088190165959,439,66,94773.7348320454,8650381.682974624,21275438.49656474,27228451.71408302,10.51265650776962,2.158019495149946,2587713.185547009,5.866141924843284,500Global,Accel,2025-11-07,2026-09-25,High burn rate,Internal Pipeline,medium,2026-05-21,0.7770160667628683,7.0,low,"BM_S1_0024,BM_S1_0007",3000002.0,,,24228449.71408302,,,41.17339578437649,no_benchmark,53.41,high,80.47,high
S_0014,startup_014,2026-05-21,2026-02-08,AutoLend_1,autolend1,Argentina,south_cone,Buenos Aires,healthtech,,B2B,pre_seed,2015,https://autolend_1.io,https://linkedin.com/company/autolend_1,Carlos López,Operations,Network,Analyst B,pipeline,4.59088739084206,93.05952146439162,2202630.898575316,450016.8394979489,3356954.236410112,14.84877511835978,261.480359919433,88.70972219081786,155368.9490911179,34.95046108363415,1127719.507292354,32889.92927188962,288186.3857862168,4.319985498559087,4.766680907447039,104.3954322415683,103.9510336187948,2.428630870368786,94,88,148054.448358385,6835810.750857467,80001805.48670317,58908340.42852744,3.903344599820084,1.569906605197217,1606183.641601586,14.3913740610718,Y Combinator,Benchmark,2025-11-07,2026-09-25,Good product-market fit,Internal Pipeline,medium,2026-05-21,0.8464547511339031,,no_match,,,,,,,,18.16924213141877,no_benchmark,90.0,high,81.64,high
S_0015,startup_015,2026-05-21,2026-02-08,ConsultBot_1,consultbot1,Mexico,mexico_ca,San Francisco,saas,consumer,B2B,series_b,2021,https://consultbot_1.io,https://linkedin.com/company/consultbot_1,Carlos López,Tech,Event,Analyst A,pipeline,3.512371466379105,11.63663978854761,3068568.516647683,11889.87499096926,2806598.748592395,9.89284912297114,203.4010285593646,82.35304134919497,132656.8839388611,13.52679137073308,1423216.633368604,11984.89992528613,293864.0886643496,2.568635939012712,11.25518205874742,88.59688752215847,124.4811127252997,9.543457956210553,180,24,286944.9244923075,4636265.072297638,74116059.28629938,53349924.6558827,4.348764326112155,6.344153156123366,4616789.674332445,6.661196241834319,Y Combinator,Benchmark,2025-11-07,2026-09-25,,Internal Pipeline,medium,2026-05-21,0.5187704294787644,7.0,low,"BM_S1_0022,BM_S1_0003",175000000.0,,,-121650075.3441173,,,30.535210369864927,no_benchmark,78.43,high,79.61,high
S_0016,startup_016,2026-05-21,2026-02-08,VentureLab_1,venturelab1,Argentina,south_cone,Buenos Aires,fintech,smb,B2B,seed,2015,https://venturelab_1.io,https://linkedin.com/company/venturelab_1,Carlos López,Tech,Event,Analyst B,in_review,7.224140153669645,81.74497084911916,4715948.430346091,332231.053401619,563837.4513752706,18.7709902136373,72.15117849241977,41.17974823227646,34561.03958601938,26.28078864157643,1434077.582745476,1211.881580568209,249915.9864046199,2.257789984612029,5.10515683818041,122.8831300101222,93.77875752989324,8.916413470405859,25,36,85299.76588429624,9554641.086744308,7315661.069106189,65907450.07595103,3.591707845317896,11.9336756438638,2009330.660733561,5.026311472404424,Y Combinator,Benchmark,2025-11-07,2026-09-25,,Internal Pipeline,medium,2026-05-21,0.0879425382100279,7.0,low,"BM_S1_0025,BM_S1_0008",7000000.0,,,58907450.07595103,,,14.35469705539458,no_benchmark,57.44,high,54.15,high
S_0017,startup_017,2026-05-21,2026-02-08,BlockChain_1,blockchain1,United States,north_america,Bogotá,fintech,smb,B2B,series_a,2021,https://blockchain_1.io,https://linkedin.com/company/blockchain_1,Maria Garcia,Product,Network,Analyst A,in_review,7.677489589885114,38.06232934765801,1211056.6320442,481733.8226725617,2240807.163594063,17.00270791761461,171.9069524168027,84.92803023374196,175797.2012858261,27.19889609636129,426218.4246403542,38335.49262860316,325925.1718026411,5.053521933468846,3.348442093284556,97.60120528646058,87.779548113988,9.163377643735195,58,57,240878.960917053,7332829.405470403,39335090.97981049,117703414.2374515,6.089750597909632,2.120753313245103,4785188.065400175,8.528073499859918,Y Combinator,Tiger Global,2025-11-07,2026-09-25,,Internal Pipeline,medium,2026-05-21,1.7419221856446765,6.0,low,BM_S1_0026,32000000.0,,,85703414.2374515,,,20.157770968979857,no_benchmark,93.11,high,78.56,high
S_0018,startup_018,2026-05-21,2026-02-08,RoboTrade_1,robotrade1,Brazil,brazil,Buenos Aires,healthtech,smb,B2C,series_a,2017,https://robotrade_1.io,https://linkedin.com/company/robotrade_1,John Smith,Product,Inbound,Analyst C,pipeline,7.336432422067301,87.79743204450695,616291.8677415812,280523.9235474591,2307187.773297612,21.44890034876786,69.41233366790127,79.15992066493129,110123.4377835217,24.30022251238457,1050214.228945591,31375.28270076845,122615.095640833,7.365684716359673,16.89609233552309,111.5282184413536,78.6081674210812,9.92379498244648,188,31,77170.63484367302,9336569.427194225,28993780.24894976,73657608.7601843,4.627937605924533,1.954806497585038,2898748.8054262,6.685052920322985,Sequoia,Tiger Global,2025-11-07,2026-09-25,Strong team,Internal Pipeline,medium,2026-05-21,2.14424580717715,,no_match,,,,,,,,10.383213789809108,no_benchmark,62.4,high,41.97,high
S_0019,startup_019,2026-05-21,2026-02-08,SupplyChain_1,supplychain1,Argentina,south_cone,San Francisco,saas,smb,B2B2C,series_b,2022,https://supplychain_1.io,https://linkedin.com/company/supplychain_1,Sofia González,Product,Network,Analyst B,passed,6.244458306604006,86.80566901074504,995377.7444010872,468474.4085545128,4324172.411518123,17.92733501339218,151.8857577581077,79.01880617854903,60082.12314215072,15.38722182640945,882720.3805647937,38233.97991279752,280804.5112106066,3.735724962624956,15.65143828129834,121.8699671303102,79.08673131612144,2.874838510076661,363,40,295314.3943478192,5512085.746085574,31144552.01104901,119514138.6393625,6.120576483029207,9.651434242759962,3341949.704042722,3.42191100325433,Y Combinator,,2025-11-07,2026-09-25,High burn rate,Internal Pipeline,medium,2026-05-21,0.7243335324315707,7.0,low,"BM_S1_0022,BM_S1_0003",175000000.0,,,-55485861.3606375,,,44.38623845379387,no_benchmark,81.24,high,76.62,high
S_0020,startup_020,2026-05-21,2026-02-08,CustomerAI_1,customerai1,Mexico,mexico_ca,Mexico City,edtech,,B2B,pre_seed,2017,https://customerai_1.io,https://linkedin.com/company/customerai_1,Sofia González,Operations,Network,Analyst B,in_review,5.658500461254609,80.59254001176211,4435755.252044255,27076.68176372586,2737774.618737064,11.88841477997341,151.7766222814069,62.89978795017858,87919.49616035032,14.13288761292197,1754001.23591183,2427.431826039448,192364.8950709796,6.264500696947051,6.423401390112611,134.0158466721242,95.96628906050913,4.198954036276556,226,99,145404.1247772838,2959590.610534826,98311741.07591538,87320357.66470015,7.62069666862754,2.957744729520994,2943232.000201975,6.877742607353007,Andreessen,Accel,2025-11-07,2026-09-25,Good product-market fit,Internal Pipeline,medium,2026-05-21,0.2378476480274655,,no_match,,,,,,,,22.067796215453345,no_benchmark,72.59,high,70.18,high
S_0021,startup_021,2026-05-21,2026-02-08,EmailAI_1,emailai1,United States,north_america,Buenos Aires,edtech,,B2B,seed,2015,https://emailai_1.io,https://linkedin.com/company/emailai_1,Carlos López,Finance,Pipeline,Analyst A,passed,9.043335547002776,79.00304363070614,3232595.955149478,209977.8662180065,1908198.739362344,17.47823231507195,66.50246103506039,59.90026464772514,12326.36262778694,23.93004848108109,1299695.950314915,41937.42157761729,334216.9572183026,5.781298807108485,7.910069494954346,127.5314716881006,105.7407894496918,7.022971269323801,319,20,243808.634724764,1001853.520464859,64634963.93451286,52626276.32931819,14.31579340885363,1.464150571634874,1082212.776350154,9.529303487273625,Andreessen,Benchmark,2025-11-07,2026-09-25,High burn rate,Internal Pipeline,medium,2026-05-21,0.0457577605075619,,no_match,,,,,,,,6.978732613970618,no_benchmark,87.29,high,53.14,high
S_0022,startup_022,2026-05-21,2026-02-08,VideoStream_1,videostream1,Argentina,south_cone,Mexico City,fintech,enterprise,B2C,pre_seed,2022,https://videostream_1.io,https://linkedin.com/company/videostream_1,Maria Garcia,Tech,Pipeline,Analyst A,pipeline,6.633572495953526,30.46791390980408,1436674.878303409,130818.7376900635,4884233.63926819,8.333767007874627,137.2051334923698,55.14578644165963,29934.02623837143,31.98286900835075,1111757.726190365,31166.54690179701,79199.53625284323,7.555106943011626,3.497862826534886,120.5816640723635,74.8369243101761,5.354222858745826,332,73,135647.770702783,7397806.08909658,72049939.62155646,121876854.0651539,10.3245127173803,2.502728673083665,2191195.485535734,9.620548464239604,Andreessen,Benchmark,2025-11-07,2026-09-25,,Internal Pipeline,medium,2026-05-21,0.2500275603653984,7.0,low,"BM_S1_0024,BM_S1_0007",3000002.0,,,118876852.0651539,,,14.261674789371202,no_benchmark,80.43,high,72.61,high
S_0023,startup_023,2026-05-21,2026-02-08,SocialPay_1,socialpay1,Brazil,brazil,Bogotá,saas,enterprise,B2B2C,pre_seed,2017,https://socialpay_1.io,https://linkedin.com/company/socialpay_1,Maria Garcia,Tech,Inbound,Analyst B,in_review,6.354273143408117,8.091928305125219,4081575.2254534,365679.6615253842,562495.7606983152,9.04521047189889,77.7495246978287,43.28474294771829,154281.6163505929,34.40201186770187,319249.820139943,28388.06986027569,289729.9342513434,6.836376612444416,20.53389131958248,120.7779909437086,126.3741153415099,4.765505800405002,183,67,206917.2192897022,1652378.481052574,97685146.0941859,37266871.24185755,13.01968542819555,13.85597093815164,946157.5052493076,7.278707054122664,Y Combinator,Benchmark,2025-11-07,2026-09-25,Good product-market fit,Internal Pipeline,medium,2026-05-21,0.4535943340359371,7.0,low,"BM_S1_0019,BM_S1_0000",4000001.5,,,33266869.74185755,,,10.681776875989442,no_benchmark,81.18,high,54.91,high
S_0024,startup_024,2026-05-21,2026-02-08,CryptoSafe_1,cryptosafe1,Brazil,brazil,São Paulo,fintech,smb,B2B2C,pre_seed,2016,https://cryptosafe_1.io,https://linkedin.com/company/cryptosafe_1,Maria Garcia,Tech,Event,Analyst C,passed,3.17949446064505,40.29801787651615,4308236.281853545,490667.2481581261,2118516.657276603,20.14665867817825,252.0588025023056,51.41176817468495,5002.268777296397,9.177174132112729,1250711.989714482,31418.39538166931,100782.4741378286,5.182934182885509,23.46850251701958,136.7554786419252,115.3080170467118,4.220301244020337,280,99,98004.0211850092,3376363.718583688,38342976.46330623,35208681.01036973,11.52421800854799,12.32206879164286,3303293.198825218,8.367633075031208,Andreessen,Benchmark,2025-11-07,2026-09-25,Good product-market fit,Internal Pipeline,medium,2026-05-21,0.0139331321219297,7.0,low,"BM_S1_0024,BM_S1_0007",3000002.0,,,32208679.010369733,,,30.123070675080424,no_benchmark,50.1,high,75.37,high
S_0025,startup_025,2026-05-21,2026-02-08,TravelAI_1,travelai1,Colombia,andean,Bogotá,logtech,smb,B2C,pre_seed,2015,https://travelai_1.io,https://linkedin.com/company/travelai_1,Sofia González,Operations,Network,Analyst A,in_review,5.388734793383095,17.35245149865087,4234106.550064487,129008.5011596797,219703.1291053124,12.26764887723639,286.9220064911177,52.33018174890123,86230.33655404697,10.64485837793159,322687.4207924435,43289.44571998403,146535.1009263678,5.770698238521698,5.844650272688507,97.74944584979217,105.1974350970198,6.34402568749107,116,3,86505.25482424063,5558473.624897026,80382176.67682779,76666432.7601157,4.350037566319581,5.310968435326411,2510933.878401975,14.5862150188172,Sequoia,Tiger Global,2025-11-07,2026-09-25,,Internal Pipeline,medium,2026-05-21,0.244387812732961,7.0,low,"BM_S1_0029,BM_S1_0014",,,,,,,19.67076490514976,no_benchmark,57.29,high,74.6,high
S_0026,startup_026,2026-05-21,2026-02-08,FoodTech_1,foodtech1,Colombia,andean,Buenos Aires,fintech,smb,B2C,series_a,2017,https://foodtech_1.io,https://linkedin.com/company/foodtech_1,Carlos López,Product,Inbound,Analyst A,pipeline,5.661369331501,69.49510889024617,4595443.402861376,327433.1261355632,3702121.562626983,20.36274783192211,68.07911881448464,64.20385348551008,106889.4853116897,34.34208776349239,740692.493574929,29553.3570746659,117167.8021585558,7.339512032796227,7.86097948907126,80.06672565177125,119.7063202563395,6.180340857760738,228,90,284516.0348920329,5861957.583907603,44018565.36714504,40605688.40238916,11.83104487648739,9.837311509910892,4000932.372069216,7.528181726763739,500Global,Accel,2025-11-07,2026-09-25,High burn rate,Internal Pipeline,medium,2026-05-21,0.2791186206192014,7.0,low,"BM_S1_0026,BM_S1_0009",32000000.0,,,8605688.402389161,,,9.043235310387614,no_benchmark,93.01,high,55.53,high
S_0027,startup_027,2026-05-21,2026-02-08,WorkFlow_1,workflow1,Mexico,mexico_ca,Mexico City,fintech,enterprise,B2B2C,series_a,2016,https://workflow_1.io,https://linkedin.com/company/workflow_1,John Smith,Finance,Pipeline,Analyst A,passed,5.791759466278304,34.60997265377856,1268682.690665074,99850.71874711032,4591201.995473762,20.9157145943704,288.7788018229253,77.3722203298347,15653.7119001896,28.09605685004378,371399.7331472305,29257.04380446488,99590.5121357204,4.096872099815076,21.23660000288562,96.31727356389192,74.81120540872679,2.453120506578161,218,6,279411.8194761084,6205540.371377792,87083833.509683,3344881.172780016,6.301186578709493,8.059135105020571,1492117.164497164,6.098721759119796,Y Combinator,Accel,2025-11-07,2026-09-25,,Internal Pipeline,medium,2026-05-21,0.1480626670359967,7.0,low,"BM_S1_0026,BM_S1_0009",32000000.0,,,-28655118.827219985,,,47.350709415640495,no_benchmark,89.58,high,89.04,high
